"group","subj","sex","age","year","month","sample_number","date","time","Cr","SG","month.name","mum","bday","weaning","mid","neo_value","CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","neo_sg"
"tws","atom","F",6.56262833675565,2015,9,82,2015-09-17,2022-02-22 16:17:00,0.86,30,"sep","arte",2009-02-21,2.795345654,2015-09-15,7.535,2.2,8,40,2018-04-25,"",0.893376764386536,269.263756786102
"tws","bike","M",6.47227926078029,2015,9,83,2015-09-17,2022-02-22 16:49:00,0.37,12,"sep","bif",2009-03-26,2.264202601,2015-09-15,10.607,8.4,19,20,2018-05-16,"",2.23344191096634,473.8023669924
"twn","amos","M",5.57700205338809,2015,9,84,2015-09-17,2022-02-22 14:50:00,0.38,19,"sep","ambe",2010-02-16,2.650239562,2015-09-15,7.437,7.7,19,40,2018-05-16,"",1.41059489113664,419.623768215327
"tws","tatu","M",6.54072553045859,2015,9,85,2015-09-18,2022-02-22 11:07:00,0.54,14,"sep","twin",2009-03-01,2.945927447,2015-09-15,2.333,20.5,8,40,2018-04-25,"",1.91437878082829,178.649827826896
"tws","bong","M",2.36550308008214,2015,9,86,2015-09-18,2022-02-22 12:20:00,0.64,25,"sep","bonn",2013-05-04,1.971252567,2015-09-15,9.992,4.8,8,40,2018-04-25,"",1.07205211726384,428.477790228013
"tws","boyd","F",3.44695414099932,2015,9,87,2015-09-22,2022-02-22 11:11:00,0.66,30,"sep","buai",2012-04-04,2.740588638,2015-09-15,3.039,0.9,8,40,2018-04-25,"",0.893376764386536,108.598879478827
"twn","ruki","M",4.56399726214921,2015,9,88,2015-09-22,2022-02-22 11:40:00,0.89,32,"sep","rave",2011-02-21,2.770704997,2015-09-15,8.202,6.1,18,40,2018-05-15,"",0.837540716612378,274.780358306189
"twn","safi","F",2.55167693360712,2015,9,89,2015-09-22,2022-02-22 11:40:00,0.74,33,"sep","saph",2013-02-25,1.741273101,2015-09-15,6.395,5.3,8,40,2018-04-25,"",0.812160694896851,207.750705754615
"tws","fris","M",6.54893908281999,2015,9,90,2015-09-24,2022-02-22 11:45:00,0.8,26,"sep","flet",2009-02-26,1.418206708,2015-09-15,5.511,20.8,8,40,2018-04-25,"",1.03081934352293,227.233816086194
"tws","boyd","F",3.44695414099932,2015,9,91,2015-09-25,2022-02-22 14:55:00,0.59,31,"sep","buai",2012-04-04,2.740588638,2015-09-15,4.753,11.4,8,40,2018-04-25,"",0.864558159083745,164.369797205002
"tws","bong","M",2.36550308008214,2015,9,92,2015-09-28,2022-02-22 09:43:00,0.58,22,"sep","bonn",2013-05-04,1.971252567,2015-09-15,3.744,20.1,8,40,2018-04-25,"",1.21824104234528,182.443778501629
"tws","burn","F",6.54346338124572,2015,9,93,2015-09-28,2022-02-22 09:24:00,0.73,38,"sep","blaz",2009-02-28,2.247775496,2015-09-15,4.509,15.6,8,40,2018-04-25,"",0.705297445568318,127.207447282702
"tws","dame","F",3.68788501026694,2015,9,94,2015-09-28,2022-02-22 12:00:00,0.32,18,"sep","dixi",2012-01-07,1.869952088,2015-09-15,5.549,9.6,18,10,2018-05-15,"",1.48896127397756,82.6224610930148
"tws","bike","M",6.47227926078029,2015,9,95,2015-09-28,2022-02-22 10:00:00,0.61,29,"sep","bif",2009-03-26,2.264202601,2015-09-15,2.014,17.3,8,40,2018-04-25,"",0.92418285971021,74.4521711782545
"gn","dean","M",4.68172484599589,2015,9,96,2015-09-29,2022-02-22 10:57:00,0.09,3,"sep","desd",2011-01-09,2.302532512,2015-09-15,1.554,9.9,6,20,2018-01-26,"",8.93376764386536,277.661498371336
"tws","bong","M",2.36550308008214,2015,9,97,2015-09-29,2022-02-22 11:20:00,0.41,20,"sep","bonn",2013-05-04,1.971252567,2015-09-15,NA,NA,NA,NA,NA,NA,1.3400651465798,NA
"gn","stre","F",6.53251197809719,2015,9,98,2015-09-29,2022-02-22 11:10:00,NA,NA,"sep","sput",2009-03-04,3.06091718,2015-09-15,NA,NA,NA,NA,NA,NA,NA,NA
"twn","amos","M",5.57700205338809,2015,9,99,2015-09-29,2022-02-22 11:05:00,0.96,43,"sep","ambe",2010-02-16,2.650239562,2015-09-15,5.974,0.6,8,40,2018-04-25,"",0.623286114688281,148.940449965912
"gn","spad","F",5.65639972621492,2015,9,100,2015-09-29,2022-02-22 14:21:00,1.27,54,"sep","spik",2010-01-18,2.258726899,2015-09-15,NA,NA,NA,NA,NA,NA,0.496320424659187,NA
"gn","pira","M",4.63244353182752,2015,9,101,2015-09-29,2022-02-22 16:10:00,0.88,32,"sep","pinc",2011-01-27,1.35797399,2015-09-15,19.701,3.3,1,40,2018-01-11,"",0.837540716612378,660.015586319218
"twn","allo","M",2.43394934976044,2015,9,102,2015-09-30,2022-02-22 09:01:00,0.38,30,"sep","ambe",2013-04-09,3.394934976,2015-09-15,5.121,10.5,8,40,2018-04-25,"",0.893376764386536,182.999296416938
"gn","spad","F",5.65639972621492,2015,9,103,2015-09-30,2022-02-22 09:52:00,0.44,36,"sep","spik",2010-01-18,2.258726899,2015-09-15,7.087,12.5,1,40,2018-01-11,"",0.74448063698878,211.045370973579
"gn","dann","M",2.61738535249829,2015,9,104,2015-09-30,2022-02-22 10:50:00,0.52,26,"sep","daff",2013-02-01,1.552361396,2015-09-15,6.845,17.8,6,40,2018-01-26,"",1.03081934352293,282.238336256577
"gn","stre","F",6.53251197809719,2015,9,105,2015-09-30,2022-02-22 08:49:00,1.11,47,"sep","sput",2009-03-04,3.06091718,2015-09-15,12.986,5.8,5,40,2018-01-25,"",0.5702404879063,296.205719038048
"twn","amos","M",5.57700205338809,2015,9,106,2015-09-30,2022-02-22 12:28:00,1.29,52,"sep","ambe",2010-02-16,2.650239562,2015-09-15,40.865,13.2,8,40,2018-04-25,"",0.515409671761463,842.488649461288
