"group","subj","date","age","year","month","time","sample_number","stdsg_CP","neo_sg","Cr","SG","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","cp_note","sex","month.name","mum","bday","weaning","mid","neo_value","CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","month_name","pl","gmd","gm","r","n_agg_g","n_agg_r","n_obs"
"gn","dais",2015-12-04,5.81245722108145,2015,12,2022-02-22 12:31:00,275,25047.43013,1901.12304987915,1.6,37,5,2016-11-01,20,1,"11/8/16",34595.1,14,14711.70691,"","F","dec","daff",2010-02-21,1.98220397,2015-12-15,65.645,11,2,40,2018-01-16,"",0.724016699626456,"dec",0,0.0733333333333333,0.0866666666666667,0.366666666666667,0,2,300
"tws","brog",2015-12-04,6.91033538672142,2015,12,2022-02-22 11:18:00,277,12023.33445,NA,2.6,40,6,2016-11-02,20,1,"11/8/16",17952.9,1,4698.180741,"","F","dec","bow",2009-01-16,2.516084873,2015-12-15,NA,NA,NA,NA,NA,NA,0.669715447154472,"dec",0.0233333333333333,0.00333333333333333,0.06,0.376666666666667,4,0,300
"tws","tatu",2015-12-18,6.78986995208761,2015,12,2022-02-22 12:42:00,294,5995.394735,NA,2.42,42,6,2016-11-02,20,1,"11/8/16",9399.76,1,2642.833818,"","M","dec","twin",2009-03-01,2.945927447,2015-12-15,NA,NA,NA,NA,NA,NA,0.637824235385211,"dec",0.0566666666666667,0.00333333333333333,0,0.38,5,5,300
"tws","burn",2015-12-19,6.79260780287474,2015,12,2022-02-22 09:30:00,303,18272.37888,888.887554721701,2,39,6,2016-11-02,20,2,"11/9/16",26601.7,2,9049.98485,"","F","dec","blaz",2009-02-28,2.247775496,2015-12-15,32.352,6.2,12,40,2018-05-07,"",0.68688763810715,"dec",0,0.00666666666666667,0.0333333333333333,0.45,0,0,300
"gn","stre",2015-12-21,6.78165639972621,2015,12,2022-02-22 10:00:00,305,47094.58159,NA,1.32,42,6,2016-11-02,20,2,"11/9/16",73836.3,2,38059.62027,"","F","dec","sput",2009-03-04,3.06091718,2015-12-15,NA,NA,NA,NA,NA,NA,0.637824235385211,"dec",0,0.0166666666666667,0.0333333333333333,0.406666666666667,0,2,300
"twn","petr",2015-12-21,5.70020533880903,2015,12,2022-02-22 12:14:00,306,7575.271628,416.308859703982,0.98,39,6,2016-11-02,20,2,"11/9/16",11028.4,2,7656.933765,"","F","dec","park",2010-04-03,2.565366188,2015-12-15,15.152,3.2,12,40,2018-05-07,"",0.68688763810715,"dec",0,0.0333333333333333,0.0433333333333333,0.34,1,0,300
"twn","allo",2015-12-21,2.68309377138946,2015,12,2022-02-22 10:33:00,308,19686.7366,NA,1.48,49,6,2016-11-02,20,2,"11/9/16",36009.7,2,16554.8879,"","M","dec","ambe",2013-04-09,3.394934976,2015-12-15,NA,NA,NA,NA,NA,NA,0.546706487473038,"dec",0.0133333333333333,0.06,0,0.296666666666667,0,0,300
"tws","brav",2015-12-21,2.71868583162218,2015,12,2022-02-22 10:34:00,309,6553.138862,524.371121951219,1.18,50,6,2016-11-02,20,2,"11/9/16",12231.2,2,7052.701722,"","M","dec","bow",2013-03-27,3.370294319,2015-12-15,12.234,13.4,12,80,2018-05-07,"",0.535772357723577,"dec",0.079734219269103,0.00332225913621262,0.00332225913621262,0.352159468438538,0,0,301
"tws","brav",2015-12-22,2.71868583162218,2015,12,2022-02-22 15:15:00,313,6329.841307,657.84602876798,1.72,52,6,2016-11-02,20,2,"11/9/16",12287,2,4860.555067,"","M","dec","bow",2013-03-27,3.370294319,2015-12-15,15.962,8.1,12,80,2018-05-07,"",0.515165728580363,"dec",0.079734219269103,0.00332225913621262,0.00332225913621262,0.352159468438538,0,0,301
"tws","dubl",2015-12-29,6.77891854893908,2015,12,2022-02-22 11:50:00,323,15413.78006,697.999762872629,2.02,48,6,2016-11-02,20,9,"11/24/16",27618.5,14,9302.874769,"redo, in singlet, originally in batch 2, run 2","M","dec","dixi",2009-03-05,2.321697467,2015-12-15,31.267,4.6,12,40,2018-05-07,"",0.55809620596206,"dec",0.03,0,0.00333333333333333,0.333333333333333,5,1,300
"tws","dame",2015-12-30,3.93702943189596,2015,12,2022-02-22 10:10:00,331,13473.13445,1076.5006097561,1.82,40,6,2016-11-02,20,2,"11/9/16",20117.7,2,7520.996663,"","F","dec","dixi",2012-01-07,1.869952088,2015-12-15,40.185,2.8,12,40,2018-05-07,"",0.669715447154472,"dec",0.00666666666666667,0.00666666666666667,0.0166666666666667,0.383333333333333,0,1,300
"tws","blas",2015-12-30,3.86584531143053,2015,12,2022-02-22 11:52:00,333,20581.24864,1679.56980255517,1.58,42,6,2016-11-02,20,2,"11/9/16",32267.9,2,13895.75255,"","M","dec","blaz",2012-02-02,1.817932923,2015-12-15,65.832,3.7,13,40,2018-05-08,"",0.637824235385211,"dec",0,0,0,0.31,0,0,300
"tws","tesl",2015-12-30,2.78439425051335,2015,12,2022-02-22 10:20:00,334,10214.4295,973.32918271288,1.14,38,6,2016-11-02,20,2,"11/9/16",14489.3,2,8647.906982,"","F","dec","twin",2013-03-03,1.49486653,2015-12-15,34.517,3.3,13,40,2018-05-08,"",0.704963628583654,"dec",0.00333333333333333,0.0133333333333333,0.00333333333333333,0.29,0,0,300
"twn","petr",2015-12-31,5.70020533880903,2015,12,2022-02-22 11:35:00,344,15108.20127,324.851812788398,1.28,37,6,2016-11-02,20,2,"11/9/16",20867.2,2,11092.32703,"","F","dec","park",2010-04-03,2.565366188,2015-12-15,11.217,8.2,13,40,2018-05-08,"",0.724016699626456,"dec",0,0.0333333333333333,0.0433333333333333,0.34,1,0,300
"tws","fris",2015-12-31,6.79808350444901,2015,12,2022-02-22 10:08:00,346,20210.95475,585.824775353017,1.46,38,7,2016-11-03,20,2,"11/9/16",28669.5,2,13360.90018,"","M","dec","flet",2009-02-26,1.418206708,2015-12-15,20.775,8.6,13,40,2018-05-08,"",0.704963628583654,"dec",0.0332225913621262,0,0.00332225913621262,0.465116279069767,8,3,301
"twn","keny",2015-12-31,5.8507871321013,2015,12,2022-02-22 15:01:00,348,5667.018262,765.324024390244,1.3,40,7,2016-11-03,20,2,"11/9/16",8461.83,2,4428.833976,"","M","dec","kayl",2010-02-07,2.453114305,2015-12-15,28.569,5,13,40,2018-05-08,"",0.669715447154472,"dec",0.0132890365448505,0.0332225913621262,0.00664451827242525,0.425249169435216,0,1,301
"tws","sevi",2016-01-04,2.77070499657769,2016,1,2022-02-22 11:37:00,352,20802.44273,NA,1,57,7,2016-11-03,20,2,"11/9/16",44262.8,2,30116.69701,"","F","jan","sava",2013-04-08,1.735797399,2016-01-15,NA,NA,NA,NA,NA,NA,0.469975752389103,"jan",0.0199335548172757,0,0.00996677740863787,0.3421926910299,3,3,301
