"subj","month","year","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","group","fai","fai_cat","avg_rain"
"dann",9,2015,"sep",0,0.0125,0.003125,0.3875,0.3,0.240625,0,0,5,320,0,"gn",7298089.98653846,"low",7.55
"dann",10,2015,"oct",0.0155763239875389,0.0155763239875389,0.0186915887850467,0.370716510903427,0.227414330218069,0.289719626168224,0,0,6,321,0,"gn",6099094.65192308,"low",7.49032258064516
"dann",11,2015,"nov",0.02,0.02,0,0.416666666666667,0.296666666666667,0.163333333333333,0,0,4,300,0,"gn",117032983.428846,"med",9.96
"dann",12,2015,"dec",0.06875,0,0,0.3375,0.34375,0.19375,0,0,4,160,0,"gn",206628053.235577,"hi",5.9
"davi",8,2015,"aug",0,0.0555555555555556,0.0166666666666667,0.333333333333333,0.3,0.177777777777778,0,2,0,180,1,"twn",521089.197916667,"low",8.24193548387097
"davi",9,2015,"sep",0,0.0266666666666667,0,0.3,0.39,0.163333333333333,0,0,0,300,1,"twn",6504451.17291667,"low",7.55
"davi",10,2015,"oct",0,0.0231788079470199,0.00993377483443709,0.374172185430464,0.258278145695364,0.188741721854305,0,0,0,302,1,"twn",5597218.68541667,"low",7.49032258064516
"davi",11,2015,"nov",0,0.04,0.03,0.353333333333333,0.283333333333333,0.153333333333333,0,1,0,300,1,"twn",119557042.557833,"med",9.96
"davi",12,2015,"dec",0.00333333333333333,0.0266666666666667,0.02,0.396666666666667,0.216666666666667,0.19,0.0366666666666667,1,0,300,1,"twn",188108038.364583,"hi",5.9
"davi",1,2016,"jan",0.01,0.03,0.02,0.4,0.306666666666667,0.183333333333333,0,1,0,300,1,"twn",187602350.308333,"hi",2.85483870967742
"davi",2,2016,"feb",0,0.0305555555555556,0.0583333333333333,0.333333333333333,0.297222222222222,0.186111111111111,0,0,0,360,1,"twn",572666.5375,"low",1.33448275862069
"davi",3,2016,"mar",0.0233333333333333,0.0466666666666667,0.01,0.406666666666667,0.21,0.196666666666667,0,0,1,300,1,"twn",106302595.085417,"med",2.5
"dean",8,2015,"aug",0.0167597765363128,0,0.0223463687150838,0.346368715083799,0.424581005586592,0.139664804469274,0,2,7,179,0.211,"gn",44096.4490384615,"low",8.24193548387097
"dean",9,2015,"sep",0,0,0,0.383333333333333,0.366666666666667,0.18,0,2,4,300,0.211,"gn",7298089.98653846,"low",7.55
"dean",10,2015,"oct",0.034375,0.0125,0.01875,0.41875,0.296875,0.175,0,0,3,320,0.211,"gn",6099094.65192308,"low",7.49032258064516
"dean",11,2015,"nov",0.02,0.03,0.01,0.426666666666667,0.266666666666667,0.203333333333333,0.00333333333333333,1,0,300,0.211,"gn",117032983.428846,"med",9.96
"dean",12,2015,"dec",0.01,0.0466666666666667,0.0133333333333333,0.393333333333333,0.306666666666667,0.163333333333333,0,0,2,300,0.211,"gn",206628053.235577,"hi",5.9
"dean",1,2016,"jan",0.0133333333333333,0.0266666666666667,0.00666666666666667,0.4,0.31,0.173333333333333,0,1,4,300,0.211,"gn",224542994.659615,"hi",2.85483870967742
"dean",2,2016,"feb",0.0166666666666667,0.0111111111111111,0.00277777777777778,0.472222222222222,0.277777777777778,0.158333333333333,0.00277777777777778,1,6,360,0.211,"gn",1746739.10288462,"low",1.33448275862069
"dean",3,2016,"mar",0.0433333333333333,0.0166666666666667,0.00666666666666667,0.36,0.276666666666667,0.21,0,1,4,300,0.211,"gn",40715871.9509615,"low",2.5
"dext",8,2015,"aug",0,0.0111111111111111,0,0.444444444444444,0.233333333333333,0.211111111111111,0,0,0,180,0.579,"gn",44096.4490384615,"low",8.24193548387097
"dext",9,2015,"sep",0,0.0100334448160535,0,0.31438127090301,0.414715719063545,0.193979933110368,0,1,0,299,0.579,"gn",7298089.98653846,"low",7.55
"dext",10,2015,"oct",0.00625,0,0,0.30625,0.35625,0.240625,0,0,0,320,0.579,"gn",6099094.65192308,"low",7.49032258064516
"dext",11,2015,"nov",0.00664451827242525,0,0,0.378737541528239,0.32890365448505,0.199335548172757,0,0,0,301,0.579,"gn",117032983.428846,"med",9.96
"dext",12,2015,"dec",0.0133333333333333,0.00333333333333333,0,0.316666666666667,0.38,0.226666666666667,0,0,0,300,0.579,"gn",206628053.235577,"hi",5.9
"dext",1,2016,"jan",0.03125,0.003125,0,0.3,0.409375,0.178125,0,0,0,320,0.579,"gn",224542994.659615,"hi",2.85483870967742
"dext",2,2016,"feb",0.0277777777777778,0.0138888888888889,0,0.491666666666667,0.225,0.172222222222222,0,0,1,360,0.579,"gn",1746739.10288462,"low",1.33448275862069
"dext",3,2016,"mar",0.0833333333333333,0.04,0,0.316666666666667,0.283333333333333,0.2,0,4,1,300,0.579,"gn",40715871.9509615,"low",2.5
"dubl",8,2015,"aug",0,0.0277777777777778,0,0.505555555555556,0.227777777777778,0.172222222222222,0,4,1,180,0.957,"tws",7755239.42916667,"low",8.24193548387097
"dubl",9,2015,"sep",0.03,0.00666666666666667,0.00666666666666667,0.41,0.38,0.103333333333333,0.00333333333333333,4,4,300,0.957,"tws",13291529.0777778,"low",7.55
"dubl",10,2015,"oct",0,0,0,0.365625,0.3625,0.16875,0,3,0,320,0.957,"tws",8685715.30416667,"low",7.49032258064516
"dubl",11,2015,"nov",0.0566666666666667,0,0.00333333333333333,0.396666666666667,0.286666666666667,0.16,0,2,4,300,0.957,"tws",131187483.281444,"med",9.96
"dubl",12,2015,"dec",0.03,0,0.00333333333333333,0.333333333333333,0.43,0.14,0,5,0,300,0.957,"tws",237582652.334722,"hi",5.9
"dubl",1,2016,"jan",0.040133779264214,0,0.0167224080267559,0.357859531772575,0.377926421404682,0.147157190635452,0.00334448160535117,1,0,299,0.957,"tws",238110609.245833,"hi",2.85483870967742
"dubl",2,2016,"feb",0.0333333333333333,0.0111111111111111,0.0222222222222222,0.344444444444444,0.319444444444444,0.177777777777778,0,3,1,360,0.957,"tws",3108847.49027778,"low",1.33448275862069
"dubl",3,2016,"mar",0.16,0,0,0.386666666666667,0.146666666666667,0.156666666666667,0.0666666666666667,1,1,300,0.957,"tws",108977575.177778,"med",2.5
"fris",8,2015,"aug",0.0111731843575419,0,0.0167597765363128,0.597765363128492,0.167597765363128,0.17877094972067,0,1,1,179,0.625,"tws",7755239.42916667,"low",8.24193548387097
"fris",9,2015,"sep",0,0.012448132780083,0.037344398340249,0.493775933609959,0.282157676348548,0.128630705394191,0,5,7,241,0.625,"tws",13291529.0777778,"low",7.55
"fris",10,2015,"oct",0,0,0,0.4375,0.353125,0.15,0,0,1,320,0.625,"tws",8685715.30416667,"low",7.49032258064516
"fris",11,2015,"nov",0.0166666666666667,0.0133333333333333,0.0233333333333333,0.43,0.26,0.143333333333333,0,4,6,300,0.625,"tws",131187483.281444,"med",9.96
"fris",12,2015,"dec",0.0332225913621262,0,0.00332225913621262,0.465116279069767,0.219269102990033,0.192691029900332,0,7,1,301,0.625,"tws",237582652.334722,"hi",5.9
"fris",1,2016,"jan",0.0564784053156146,0.00996677740863787,0,0.538205980066445,0.166112956810631,0.166112956810631,0,0,1,301,0.625,"tws",238110609.245833,"hi",2.85483870967742
"fris",2,2016,"feb",0.0138888888888889,0,0,0.561111111111111,0.213888888888889,0.152777777777778,0,2,5,360,0.625,"tws",3108847.49027778,"low",1.33448275862069
"fris",3,2016,"mar",0.02,0.0333333333333333,0.02,0.573333333333333,0.143333333333333,0.126666666666667,0,1,1,300,0.625,"tws",108977575.177778,"med",2.5
"kabu",8,2015,"aug",0,0.0388888888888889,0,0.294444444444444,0.35,0.2,0,0,0,180,0.455,"twn",521089.197916667,"low",8.24193548387097
"kabu",9,2015,"sep",0,0,0.01,0.236666666666667,0.433333333333333,0.19,0,0,0,300,0.455,"twn",6504451.17291667,"low",7.55
"kabu",10,2015,"oct",0.00940438871473354,0.0250783699059561,0.0188087774294671,0.31974921630094,0.25705329153605,0.203761755485893,0,0,2,319,0.455,"twn",5597218.68541667,"low",7.49032258064516
"kabu",11,2015,"nov",0,0.0167224080267559,0,0.317725752508361,0.311036789297659,0.210702341137124,0,0,4,299,0.455,"twn",119557042.557833,"med",9.96
"kabu",12,2015,"dec",0,0.0133333333333333,0.00666666666666667,0.373333333333333,0.276666666666667,0.23,0,0,0,300,0.455,"twn",188108038.364583,"hi",5.9
"kabu",1,2016,"jan",0.00668896321070234,0.0100334448160535,0.0100334448160535,0.391304347826087,0.297658862876254,0.210702341137124,0,1,0,299,0.455,"twn",187602350.308333,"hi",2.85483870967742
