subj,group,year,month,sex,age,mrank,log2_neo,log2_cp_tar,cr_resid,sample_interval
peke,tws,2016,1,M,5.04312114989733,0.174,8.134720216666672,13.228633555286201,-0.18429472362389568,8
bong,tws,2016,1,M,2.6995208761122518,0.696,8.383283737901925,12.21286841190818,-0.19943108216893307,9
bike,tws,2016,1,M,6.806297056810404,0.261,8.954463060630093,13.982180117292554,0.013728687513396506,7
fris,tws,2016,1,M,6.882956878850103,0.625,9.75410432293039,13.374981045771413,0.2522286079534657,14
tatu,tws,2016,1,M,6.874743326488707,1,8.420492603663087,11.035433508635311,-0.1097858706323511,7
blas,tws,2016,1,M,3.9507186858316223,0.13,9.94979440077034,12.58116541509662,-0.37527591274101063,14
dean,gn,2016,1,M,5.01574264202601,0.211,8.986709530987193,12.487908110332263,-0.21526592240042514,10
dais,gn,2016,1,F,5.897330595482546,0,NA,NA,0.8864219178498907,1
ting,gn,2016,1,M,4.991101984941821,0.526,10.825609600455838,13.935632035988919,-0.15203858348591212,16
kabu,twn,2016,1,F,2.7433264887063653,0.455,9.634897989268914,13.492174005919921,-0.1246013608945813,14
mole,gn,2016,1,F,2.74880219028063,0.737,11.28325446414768,13.902057404346996,-0.19203858348591216,16
amos,twn,2016,1,M,5.9110198494182065,0.636,10.095953678466804,14.800154935118949,0.0062988413653423435,14
spor,gn,2016,1,F,2.3545516769336072,0.368,9.74550057250014,11.895056818613144,0.028445302260141477,21
pira,gn,2016,1,M,4.9664613278576315,0.947,8.898630171640574,13.311146225423753,-0.1519018182473178,15
boyd,tws,2016,1,F,3.780971937029432,0.217,10.328777886291128,14.707481552169032,-0.06982528973661739,7
dais,gn,2016,1,F,5.897330595482546,0,8.224753233120028,13.56232525465662,-0.23465264785905404,14
dext,gn,2016,1,M,2.811772758384668,0.579,8.267235646901765,13.379199206758027,-0.41370115863465773,15
brog,tws,2016,1,F,6.995208761122519,0.826,9.412575010065805,14.907785289005803,0.2935893083774935,5
king,twn,2016,1,M,4.202600958247776,0.364,8.840426076150884,14.292995919343282,-0.19285224333920695,22
mayh,gn,2016,1,F,5.839835728952772,0.789,NA,13.165802435168581,-0.2865842620680584,13
