"group","subj","date","age","year","month","time","sample_number","stdsg_CP","neo_sg","sex","Cr","SG","month.name","mum","bday","weaning","mid","neo_value","neo_CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","cp_note","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","fai","fai_cat","avg_rain","cr_resid"
"twn","onyx","2015-08-28",2.507871321013,2015,8,"2022-03-05 10:42:00",43,13040.98117,410.31703038083,"M",0.65,38,"aug","opal","2013-02-10",1.631759069,"2015-08-15",14.551,12.3,7,40,"2018-04-17",NA,0.704963628583654,2,"2016-10-27",20,1,"11/8/16",18498.8,1,19364.15975,"","aug",0.0111111111111111,0,0,0.255555555555556,0.355555555555556,0.205555555555556,0,0,5,180,0.909,521089.197916667,"low",8.24193548387097,-0.31140870810134
"tws","brog","2015-08-28",6.57631759069131,2015,8,"2022-03-05 12:01:00",44,2707.090295,650.159756097561,"F",0.65,24,"aug","bow","2009-01-16",2.516084873,"2015-08-15",14.562,17.8,7,40,"2018-04-17",NA,1.11619241192412,2,"2016-10-27",10,3,"11/16/16",2425.29,4,2538.743216,"","aug",0,0,0.05,0.505,0.135,0.205,0,0,2,200,0.826,7755239.42916667,"low",8.24193548387097,0.045674539545462
"tws","peke","2015-08-28",4.62422997946612,2015,8,"2022-03-05 12:24:00",45,4355.594868,606.494308943089,"M",0.84,32,"aug","pans","2010-12-30",2.814510609,"2015-08-15",9.056,11.5,18,80,"2018-05-15",NA,0.837144308943089,2,"2016-10-27",10,3,"11/16/16",5202.92,4,4214.405486,"","aug",0.0446927374301676,0.0111731843575419,0.00558659217877095,0.452513966480447,0.251396648044693,0.173184357541899,0,0,2,179,0.174,7755239.42916667,"low",8.24193548387097,0.0336379814264712
"tws","dubl","2015-08-31",6.44490075290897,2015,8,"2022-03-05 12:05:00",46,8654.014302,1161.55447154472,"M",0.63,11,"aug","dixi","2009-03-05",2.321697467,"2015-08-15",11.924,8,7,40,"2018-04-17",NA,2.43532889874353,2,"2016-10-27",5,5,"11/21/16",3553.53,9,3837.849086,"","aug",0,0.0277777777777778,0,0.505555555555556,0.227777777777778,0.172222222222222,0,4,1,180,0.957,7755239.42916667,"low",8.24193548387097,0.342546315938477
"gn","spor","2015-08-31",1.9356605065024,2015,8,"2022-03-05 11:21:00",47,2931.924932,328.051430292081,"F",0.49,27,"aug","spik","2013-09-07",2.168377823,"2015-08-15",8.266,12.6,1,40,"2018-01-11",NA,0.992171032821439,2,"2016-10-27",10,3,"11/16/16",2955.06,4,4103.35111,"","aug",0,0.0220994475138122,0,0.49171270718232,0.237569060773481,0.165745856353591,0,0,0,181,0.368,44096.4490384615,"low",8.24193548387097,-0.18946072851013
"gn","stre","2015-09-01",6.53251197809719,2015,9,"2022-03-05 11:37:00",48,5241.652323,542.405729771584,"F",0.57,21,"sep","sput","2009-03-04",3.06091718,"2015-09-15",10.63,6.5,1,40,"2018-01-11",NA,1.27564847077042,2,"2016-10-27",5,5,"11/21/16",4109.01,9,4904.907244,"","sep",0,0.106666666666667,0.0766666666666667,0.29,0.353333333333333,0.123333333333333,0,0,4,300,0.684,7298089.98653846,"low",7.55,0.0400556781142175
"twn","davi","2015-09-01",2.01505817932923,2015,9,"2022-03-05 11:42:00",49,3601.026474,106.685670731707,"F",0.4,16,"sep","didg","2013-09-09",1.349760438,"2015-09-15",1.593,0.6,18,40,"2018-05-15",NA,1.67428861788618,2,"2016-10-27",5,5,"11/21/16",2150.78,9,3658.511752,"","sep",0,0.0266666666666667,0,0.3,0.39,0.163333333333333,0,0,0,300,1,6504451.17291667,"low",7.55,-0.007651600908603
"twn","ruki","2015-09-01",4.56399726214921,2015,9,"2022-03-05 15:03:00",50,1595.603141,375.381596452328,"M",0.8,22,"sep","rave","2011-02-21",2.770704997,"2015-09-15",7.707,10.3,7,40,"2018-04-17",NA,1.21766444937177,2,"2016-10-27",10,3,"11/16/16",1310.38,4,1114.488843,"","sep",0.0566666666666667,0,0.01,0.28,0.356666666666667,0.2,0,0,2,300,0.273,6504451.17291667,"low",7.55,0.24534575742317
"tws","dame","2015-09-02",3.68788501026694,2015,9,"2022-03-05 12:14:00",51,7058.609466,238.954471544715,"F",0.37,14,"sep","dixi","2012-01-07",1.869952088,"2015-09-15",3.122,13.4,7,40,"2018-04-17",NA,1.91347270615563,2,"2016-10-27",5,5,"11/21/16",3688.9,9,6783.652846,"","sep",0,0.0666666666666667,0.06,0.33,0.253333333333333,0.2,0,4,5,300,0.957,13291529.0777778,"low",7.55,0.0106789423258408
"tws","brav","2015-09-02",2.46954140999316,2015,9,"2022-03-05 15:16:00",52,3767.589489,1212.14668989547,"M",1.29,42,"sep","bow","2013-03-27",3.370294319,"2015-09-15",47.511,2.6,7,40,"2018-04-17",NA,0.637824235385211,2,"2016-10-27",20,1,"11/8/16",5906.94,1,3115.597206,"","sep",0.01,0.0133333333333333,0.01,0.303333333333333,0.356666666666667,0.21,0,0,2,300,0.826,13291529.0777778,"low",7.55,0.223550988909373
